name,created_at,updated_at
"ALPINE INVESTORS IX LP","2024-04-10 12:00:00","2024-04-10 12:00:00"
"VIRGINIA HOUSING DEVELOPMENT AUTHORITY","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Ryder System Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Dominion Energy Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"The Mosaic Company","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Nutrien Ltd","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"INNODATA INC","2024-04-10 12:00:00","2024-04-10 12:00:00"
"SOFI TECHNOLOGIES INC","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Livent Corp","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"TAMPA ELECTRIC CO","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Sprott Physical Gold & Silver Trust","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Sprott Physical Gold & Silver Trust","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Sociedad Quimica y Minera de Chile SA Soqimich","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Sprott Physical Gold & Silver Trust","2024-04-10 12:00:00","2024-04-10 12:00:00"
"SPDR Gold Trust","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Equitrans Midstream Corp","2024-04-10 12:00:00","2024-04-10 12:00:00"
"NVIDIA Corporation","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Apple Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"ISHARES GLBL CLEAN ENRGY ETF","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Berkshire Hathaway Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Dominion Energy Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Leidos Holdings Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Science Applications International Corp","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Illumina Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Wells Fargo & Co","2024-04-10 12:00:00","2024-04-10 12:00:00"
"ELLIOTT ASSOCIATES LP","2024-04-10 12:00:00","2024-04-10 12:00:00"
"PORT AUTHORITY OF NEW YORK AND NEW JERSEY","2024-04-10 12:00:00","2024-04-10 12:00:00"
"NEW YORK STATE URBAN DEVELOPMENT CORP","2024-04-10 12:00:00","2024-04-10 12:00:00"
"NGL Energy Partners LP","2024-04-10 12:00:00","2024-04-10 12:00:00"
"Capital One Financial Corp","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BOND","2024-04-10 12:00:00","2024-04-10 12:00:00"
"General Mills Inc","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BILLS","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BOND","2024-04-10 12:00:00","2024-04-10 12:00:00"
"US TREASURY BOND","2024-04-10 12:00:00","2024-04-10 12:00:00"
